# Constructed from biom file
#OTU ID	s140.assembled.fastq	s12.assembled.fastq	s14.assembled.fastq	s139.assembled.fastq	s13.assembled.fastq	s11.assembled.fastq	s10.assembled.fastq	s9.assembled.fastq	s16.assembled.fastq	s138.assembled.fastq	s15.assembled.fastq	s5.assembled.fastq	s7.assembled.fastq	s8.assembled.fastq	s6.assembled.fastq	s137.assembled.fastq	taxonomy
OTU91552807570752	54.0	268.0	153.0	135.0	184.0	230.0	15.0	31.0	61.0	7.0	22.0	22.0	10.0	45.0	26.0	15.0	k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__
OTU15505185644499	2.0	5.0	1.0	2.0	4.0	7.0	10.0	18.0	4.0	6.0	2.0	7.0	6.0	8.0	11.0	9.0	k__Bacteria; p__Chloroflexi; c__[Thermobacula]; o__[Thermobaculales]; f__[Thermobaculaceae]; g__; s__
OTU41772444937023	5.0	2.0	4.0	9.0	3.0	5.0	0.0	0.0	9.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__WS2; c__Kazan-3B-09; o__; f__; g__; s__
OTU59417559830412	7.0	0.0	4.0	8.0	9.0	1.0	7.0	7.0	3.0	5.0	2.0	2.0	3.0	6.0	6.0	6.0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__
OTU94210635849021	1.0	3.0	3.0	2.0	7.0	1.0	4.0	0.0	2.0	2.0	1.0	1.0	1.0	7.0	4.0	2.0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__OPB11; f__; g__; s__
OTU92715882604695	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__
OTU47732287300698	1.0	1.0	0.0	5.0	3.0	2.0	6.0	4.0	4.0	2.0	2.0	3.0	5.0	6.0	3.0	7.0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__GCA004; f__; g__; s__
OTU4549989595660	2.0	1.0	8.0	10.0	9.0	0.0	14.0	38.0	1.0	16.0	2.0	12.0	6.0	22.0	35.0	23.0	k__Bacteria; p__Chloroflexi; c__Dehalococcoidetes; o__Dehalococcoidales; f__Dehalococcoidaceae; g__; s__
OTU7206892860065	2.0	0.0	3.0	2.0	4.0	0.0	13.0	21.0	0.0	13.0	1.0	11.0	15.0	25.0	18.0	26.0	k__Bacteria; p__; c__; o__; f__; g__; s__
OTU97976982570449	15.0	35.0	13.0	34.0	11.0	20.0	12.0	11.0	49.0	19.0	50.0	22.0	8.0	13.0	27.0	32.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__
OTU70256099468122	2.0	2.0	10.0	7.0	9.0	3.0	13.0	25.0	13.0	5.0	16.0	15.0	12.0	21.0	20.0	7.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__
OTU79355839169097	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	k__Bacteria; p__WS3; c__PRR-12; o__; f__; g__; s__
OTU46329124311468	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
OTU1485584558155	4.0	4.0	3.0	16.0	7.0	0.0	8.0	9.0	6.0	7.0	1.0	11.0	3.0	11.0	7.0	13.0	k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__DHVEG-1; g__; s__
OTU82593709422814	2.0	1.0	3.0	2.0	2.0	0.0	1.0	3.0	2.0	1.0	3.0	2.0	3.0	8.0	10.0	9.0	k__Bacteria; p__Chloroflexi; c__Dehalococcoidetes; o__Dehalococcoidales; f__Dehalococcoidaceae; g__; s__
OTU48316285328461	0.0	4.0	0.0	2.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	4.0	1.0	2.0	0.0	2.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobacteraceae; g__; s__
OTU45591809424513	3.0	0.0	10.0	15.0	5.0	0.0	2.0	8.0	8.0	4.0	8.0	3.0	2.0	3.0	12.0	6.0	k__Bacteria; p__Chloroflexi; c__Dehalococcoidetes; o__; f__; g__; s__
OTU70034274553843	7.0	9.0	13.0	28.0	13.0	9.0	4.0	3.0	19.0	1.0	12.0	0.0	4.0	2.0	1.0	0.0	Unassigned
OTU10497169683136	5.0	4.0	0.0	6.0	1.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0	2.0	1.0	2.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobacteraceae; g__; s__
OTU95331801664709	5.0	1.0	4.0	1.0	0.0	2.0	0.0	0.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__KSB3; c__MAT-CR-H3-D11; o__; f__; g__; s__
OTU80692611433341	0.0	1.0	0.0	1.0	1.0	0.0	1.0	3.0	2.0	0.0	2.0	4.0	0.0	2.0	4.0	3.0	k__Bacteria; p__WS3; c__PRR-12; o__PBS-III-9; f__; g__; s__
OTU85822844404786	0.0	0.0	0.0	0.0	0.0	0.0	14.0	23.0	3.0	11.0	0.0	13.0	10.0	22.0	32.0	14.0	k__Bacteria; p__BHI80-139; c__MD2896-B26; o__; f__; g__; s__
OTU10471918539766	0.0	0.0	0.0	1.0	0.0	2.0	6.0	7.0	13.0	6.0	9.0	5.0	2.0	9.0	7.0	5.0	k__Bacteria; p__OP8; c__OP8_2; o__; f__; g__; s__
OTU31782436672111	5.0	1.0	0.0	4.0	2.0	0.0	1.0	1.0	9.0	2.0	3.0	1.0	0.0	7.0	1.0	4.0	Unassigned
OTU55771745655420	21.0	7.0	23.0	32.0	18.0	1.0	7.0	27.0	64.0	8.0	52.0	7.0	9.0	14.0	17.0	19.0	k__Bacteria; p__Chloroflexi; c__Dehalococcoidetes; o__; f__; g__; s__
OTU26007893354497	4.0	14.0	5.0	16.0	2.0	5.0	6.0	4.0	10.0	5.0	5.0	7.0	1.0	5.0	0.0	4.0	k__Bacteria; p__[Caldithrix]; c__KSB1; o__GW-22; f__; g__; s__
OTU75182800800904	0.0	0.0	5.0	5.0	2.0	0.0	7.0	6.0	5.0	3.0	5.0	3.0	2.0	9.0	12.0	9.0	k__Bacteria; p__Chloroflexi; c__Dehalococcoidetes; o__Dehalococcoidales; f__Dehalococcoidaceae; g__; s__
OTU94675096092748	0.0	2.0	3.0	6.0	2.0	0.0	0.0	0.0	4.0	2.0	1.0	2.0	2.0	1.0	1.0	0.0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__
OTU43137463166348	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	Unassigned
OTU50553479134535	2.0	1.0	2.0	5.0	1.0	0.0	3.0	9.0	3.0	4.0	0.0	4.0	1.0	4.0	6.0	15.0	Unassigned
OTU70334826085275	1.0	1.0	1.0	0.0	3.0	0.0	3.0	1.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	k__Bacteria; p__NKB19; c__; o__; f__; g__; s__
OTU58058983453985	14.0	0.0	32.0	34.0	28.0	0.0	47.0	129.0	3.0	44.0	6.0	36.0	32.0	84.0	107.0	118.0	Unassigned
OTU58364313063461	0.0	0.0	2.0	1.0	3.0	0.0	4.0	8.0	0.0	2.0	0.0	3.0	4.0	4.0	7.0	6.0	k__Bacteria; p__Chloroflexi; c__Dehalococcoidetes; o__Dehalococcoidales; f__Dehalococcoidaceae; g__; s__
OTU79409001813187	2.0	1.0	1.0	8.0	2.0	4.0	2.0	0.0	7.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	k__Archaea; p__[Parvarchaeota]; c__[Parvarchaea]; o__WCHD3-30; f__; g__; s__
OTU3299708138290	1.0	1.0	6.0	10.0	4.0	1.0	0.0	4.0	16.0	0.0	13.0	4.0	0.0	3.0	2.0	4.0	k__Bacteria; p__GN04; c__; o__; f__; g__; s__
OTU71065381897672	2.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Spirochaeta; s__
OTU89272080730499	0.0	0.0	1.0	0.0	0.0	0.0	6.0	15.0	1.0	5.0	0.0	2.0	3.0	21.0	3.0	8.0	k__Bacteria; p__OP3; c__BD4-9; o__; f__; g__; s__
OTU22434528643593	1.0	0.0	1.0	3.0	3.0	1.0	0.0	11.0	0.0	1.0	1.0	4.0	0.0	4.0	0.0	3.0	k__Bacteria; p__Chloroflexi; c__Dehalococcoidetes; o__GIF9; f__; g__; s__
OTU64825187645158	27.0	51.0	25.0	73.0	19.0	44.0	11.0	14.0	144.0	7.0	117.0	23.0	9.0	17.0	24.0	26.0	k__Bacteria; p__OP8; c__OP8_1; o__; f__; g__; s__
OTU94524617454368	12.0	0.0	9.0	38.0	15.0	0.0	14.0	33.0	15.0	13.0	15.0	15.0	11.0	37.0	15.0	19.0	k__Bacteria; p__Chloroflexi; c__Dehalococcoidetes; o__GIF9; f__; g__; s__
OTU65646433122009	8.0	3.0	3.0	21.0	6.0	3.0	2.0	7.0	5.0	5.0	16.0	3.0	11.0	16.0	2.0	13.0	k__Bacteria; p__Gemmatimonadetes; c__JL-ETNP-Z39; o__; f__; g__; s__
OTU85109424990973	42.0	29.0	39.0	88.0	40.0	25.0	22.0	53.0	84.0	41.0	50.0	43.0	12.0	58.0	72.0	84.0	k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__DHVEG-1; g__; s__
OTU42476118205659	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	4.0	1.0	0.0	7.0	3.0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__MSB-1E9; f__; g__; s__
OTU52573778850609	0.0	2.0	1.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	2.0	1.0	1.0	2.0	2.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j; f__; g__; s__
OTU57729270960505	2.0	6.0	1.0	1.0	4.0	6.0	0.0	0.0	3.0	2.0	3.0	0.0	2.0	4.0	0.0	3.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__koll13; g__; s__
OTU53954357648785	7.0	9.0	4.0	16.0	9.0	4.0	2.0	3.0	13.0	1.0	9.0	2.0	2.0	3.0	7.0	2.0	k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__; g__; s__
OTU27639576328719	1.0	5.0	2.0	5.0	2.0	7.0	2.0	7.0	4.0	3.0	7.0	8.0	0.0	12.0	4.0	9.0	k__Bacteria; p__Proteobacteria; c__TA18; o__PHOS-HD29; f__; g__; s__
OTU60109864277512	0.0	4.0	7.0	1.0	10.0	3.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__; s__
OTU51175776802053	0.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__WS2; c__SHA-109; o__; f__; g__; s__
OTU20383730162774	4.0	5.0	2.0	13.0	1.0	0.0	1.0	0.0	11.0	1.0	11.0	2.0	0.0	1.0	1.0	2.0	k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__DHVEG-1; g__; s__
OTU95399436502942	2.0	8.0	3.0	5.0	2.0	8.0	4.0	3.0	9.0	6.0	1.0	7.0	5.0	9.0	2.0	6.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobacteraceae; g__Desulfococcus; s__
OTU31542599588738	1.0	2.0	5.0	1.0	2.0	1.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobacteraceae; g__; s__
OTU30606548550099	0.0	0.0	3.0	0.0	4.0	0.0	7.0	6.0	3.0	12.0	4.0	7.0	0.0	14.0	13.0	12.0	k__Bacteria; p__GN04; c__MSB-5A5; o__; f__; g__; s__
OTU14494196679887	3.0	6.0	8.0	13.0	4.0	4.0	3.0	2.0	19.0	1.0	14.0	0.0	4.0	10.0	2.0	1.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__; s__
OTU27882310434183	0.0	0.0	2.0	0.0	0.0	0.0	6.0	6.0	0.0	2.0	0.0	0.0	3.0	12.0	0.0	1.0	Unassigned
OTU36535741843508	7.0	0.0	6.0	6.0	2.0	4.0	8.0	13.0	7.0	3.0	5.0	4.0	5.0	6.0	8.0	19.0	Unassigned
OTU72419597702684	4.0	3.0	2.0	4.0	0.0	4.0	0.0	0.0	7.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	Unassigned
OTU5429109696940	0.0	8.0	5.0	5.0	3.0	2.0	11.0	17.0	9.0	9.0	9.0	19.0	10.0	23.0	7.0	9.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__; s__
OTU93577323279442	3.0	3.0	9.0	8.0	13.0	1.0	10.0	25.0	10.0	10.0	11.0	15.0	10.0	17.0	15.0	26.0	k__Bacteria; p__OP8; c__OP8_1; o__; f__; g__; s__
OTU31992369185473	0.0	0.0	2.0	1.0	1.0	0.0	0.0	4.0	2.0	2.0	1.0	2.0	2.0	8.0	0.0	6.0	k__Bacteria; p__WS3; c__PRR-12; o__PBS-III-9; f__; g__; s__
OTU85662984403522	0.0	4.0	4.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfarculales; f__Desulfarculaceae; g__; s__
OTU6988083538733	9.0	7.0	31.0	56.0	15.0	6.0	15.0	44.0	30.0	27.0	18.0	10.0	10.0	25.0	26.0	46.0	k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__DHVEG-1; g__; s__
OTU52854703890632	0.0	0.0	0.0	0.0	0.0	0.0	17.0	10.0	0.0	12.0	0.0	8.0	5.0	31.0	12.0	20.0	Unassigned
OTU66441673580718	0.0	0.0	3.0	0.0	2.0	0.0	1.0	8.0	1.0	2.0	0.0	2.0	1.0	2.0	13.0	4.0	Unassigned
OTU48375066497609	2.0	1.0	3.0	1.0	1.0	0.0	1.0	7.0	8.0	1.0	1.0	6.0	2.0	1.0	5.0	2.0	k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__20c-4; g__; s__
OTU88426232613723	1.0	4.0	2.0	9.0	3.0	0.0	1.0	2.0	7.0	0.0	8.0	0.0	2.0	1.0	3.0	6.0	k__Bacteria; p__Fibrobacteres; c__TG3; o__TG3-1; f__; g__; s__
OTU89669279879020	2.0	0.0	10.0	4.0	14.0	0.0	1.0	8.0	0.0	5.0	0.0	3.0	3.0	4.0	2.0	9.0	k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__DHVEG-1; g__; s__
OTU17047133576264	0.0	1.0	1.0	8.0	5.0	0.0	2.0	7.0	8.0	1.0	6.0	3.0	2.0	11.0	5.0	6.0	k__Bacteria; p__Acidobacteria; c__BPC102; o__B110; f__; g__; s__
OTU44732818830060	2.0	0.0	4.0	3.0	2.0	0.0	15.0	8.0	10.0	4.0	9.0	3.0	12.0	23.0	1.0	5.0	Unassigned
OTU24478674454972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	4.0	1.0	1.0	0.0	2.0	2.0	k__Bacteria; p__Chloroflexi; c__Dehalococcoidetes; o__Dehalococcoidales; f__Dehalococcoidaceae; g__; s__
OTU97835515540436	2.0	1.0	4.0	1.0	1.0	1.0	8.0	12.0	1.0	2.0	2.0	6.0	3.0	12.0	12.0	4.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
OTU9317559496974	0.0	0.0	1.0	0.0	0.0	0.0	13.0	18.0	1.0	18.0	0.0	19.0	3.0	14.0	20.0	17.0	k__Bacteria; p__WS3; c__PRR-12; o__SSS58A; f__; g__; s__
OTU53050512767291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	2.0	1.0	4.0	Unassigned
OTU27251675059405	17.0	1.0	27.0	28.0	24.0	2.0	6.0	19.0	9.0	7.0	16.0	6.0	4.0	13.0	17.0	14.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__
OTU44862369344188	2.0	2.0	10.0	1.0	13.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	k__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosaetaceae; g__Methanosaeta; s__
OTU73985251237841	7.0	1.0	32.0	15.0	32.0	2.0	46.0	103.0	7.0	33.0	5.0	37.0	40.0	74.0	87.0	82.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__
OTU16263387803995	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	1.0	0.0	3.0	0.0	2.0	4.0	0.0	Unassigned
OTU61140144720226	5.0	1.0	1.0	6.0	6.0	1.0	0.0	1.0	5.0	0.0	5.0	0.0	0.0	0.0	2.0	5.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
OTU66424914773049	5.0	1.0	15.0	15.0	16.0	1.0	32.0	80.0	4.0	30.0	3.0	22.0	21.0	68.0	58.0	43.0	k__Bacteria; p__Chloroflexi; c__Dehalococcoidetes; o__Dehalococcoidales; f__Dehalococcoidaceae; g__; s__
OTU26383224988525	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	5.0	0.0	1.0	Unassigned
OTU46126578054907	16.0	4.0	9.0	32.0	6.0	4.0	0.0	0.0	7.0	2.0	6.0	1.0	0.0	2.0	3.0	3.0	Unassigned
OTU63759691461761	1.0	3.0	4.0	2.0	2.0	4.0	2.0	8.0	5.0	10.0	5.0	13.0	8.0	22.0	11.0	23.0	k__Bacteria; p__Caldithrix; c__Caldithrixae; o__Caldithrixales; f__Caldithrixaceae; g__LCP-26; s__
OTU2663202982971	6.0	2.0	4.0	21.0	8.0	4.0	0.0	6.0	11.0	1.0	8.0	4.0	2.0	10.0	2.0	5.0	k__Archaea; p__Crenarchaeota; c__MCG; o__; f__; g__; s__
OTU24682239187388	0.0	0.0	2.0	1.0	0.0	0.0	4.0	2.0	0.0	2.0	0.0	1.0	4.0	8.0	4.0	6.0	Unassigned
OTU91619200714947	0.0	0.0	1.0	1.0	1.0	0.0	0.0	8.0	1.0	2.0	0.0	4.0	3.0	2.0	4.0	1.0	k__Bacteria; p__Chloroflexi; c__Dehalococcoidetes; o__; f__; g__; s__
OTU91852611545330	24.0	12.0	33.0	65.0	29.0	9.0	5.0	20.0	29.0	12.0	39.0	8.0	2.0	13.0	9.0	12.0	k__Archaea; p__Crenarchaeota; c__MCG; o__; f__; g__; s__
OTU53319933376114	10.0	10.0	6.0	16.0	11.0	5.0	1.0	2.0	5.0	4.0	1.0	3.0	0.0	7.0	5.0	9.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__
OTU36086061496198	1.0	1.0	3.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	k__Bacteria; p__NKB19; c__; o__; f__; g__; s__
OTU33414296361430	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	1.0	0.0	1.0	0.0	0.0	7.0	4.0	k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__DHVEG-1; g__; s__
OTU38380743114086	3.0	4.0	26.0	19.0	7.0	3.0	35.0	38.0	4.0	28.0	8.0	30.0	16.0	55.0	27.0	45.0	Unassigned
OTU70643198925016	7.0	13.0	4.0	17.0	10.0	8.0	2.0	2.0	8.0	6.0	10.0	11.0	3.0	6.0	1.0	5.0	k__Bacteria; p__WS3; c__PRR-12; o__SSS58A; f__; g__; s__
OTU40799036690117	0.0	0.0	2.0	0.0	0.0	0.0	3.0	5.0	0.0	2.0	0.0	1.0	2.0	8.0	7.0	4.0	k__Archaea; p__Crenarchaeota; c__MCG; o__pGrfC26; f__; g__; s__
OTU17790676596324	0.0	0.0	3.0	0.0	1.0	0.0	10.0	7.0	0.0	3.0	0.0	3.0	3.0	3.0	8.0	9.0	Unassigned
OTU90429105114075	3.0	2.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__; g__; s__
OTU8206424325398	1.0	0.0	4.0	0.0	2.0	0.0	5.0	17.0	1.0	2.0	2.0	8.0	3.0	5.0	6.0	5.0	k__Bacteria; p__[Caldithrix]; c__KSB1; o__MSB-5B5; f__; g__; s__
OTU92110731921065	3.0	5.0	5.0	3.0	5.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__
OTU46126834033065	0.0	2.0	1.0	6.0	1.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	1.0	3.0	0.0	1.0	k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__DHVEG-1; g__; s__
OTU23929517931451	1.0	1.0	5.0	0.0	1.0	0.0	3.0	8.0	0.0	1.0	1.0	8.0	4.0	5.0	13.0	4.0	k__Bacteria; p__LCP-89; c__SAW1_B44; o__; f__; g__; s__
OTU74592633903643	229.0	70.0	157.0	569.0	136.0	64.0	171.0	211.0	327.0	184.0	264.0	168.0	126.0	351.0	143.0	338.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__
OTU10888203912794	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	3.0	0.0	4.0	2.0	2.0	5.0	5.0	Unassigned
OTU56596668378106	2.0	1.0	10.0	17.0	18.0	0.0	2.0	5.0	19.0	0.0	22.0	4.0	1.0	4.0	1.0	2.0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SHA-20; f__; g__; s__
OTU83727750653881	0.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	3.0	1.0	1.0	3.0	3.0	6.0	5.0	8.0	k__Archaea; p__Crenarchaeota; c__MHVG; o__; f__; g__; s__
OTU21743899692398	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	Unassigned
OTU61150459876368	0.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	Unassigned
OTU1005454892976	1.0	4.0	3.0	6.0	2.0	3.0	12.0	26.0	15.0	5.0	11.0	17.0	4.0	15.0	18.0	7.0	k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__[Thermodesulfovibrionaceae]; g__LCP-6; s__
OTU22739316569969	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	4.0	0.0	0.0	3.0	2.0	3.0	2.0	k__Bacteria; p__WS3; c__PRR-12; o__PBS-III-9; f__; g__; s__
